"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","2","0","39","0","0"
"","Dropdown errors","","0","0","19","0","0"
"","Email field error","","0","0","5","0","0"
"","Open Page","","0","0","1","0","0"
"","Dropdown Modal Actions","","0","0","18","0","0"
"","Login","","0","0","7","0","0"
"","Operation list","","0","0","13","0","0"
"","Dropdown list","","0","0","6","0","0"
"","Calendar","","0","0","6","0","0"
"","Login field error","","0","0","4","0","0"
"","Password field error","","0","0","5","0","0"
"","Register page","","0","0","1","0","0"
"","Incomes Operation list","","0","0","1","0","0"
"","exist user registration error","","0","0","3","0","0"
"","Already register link","","0","0","1","0","0"
"","Send Email confirm msg","","0","0","1","0","0"
"","Email validation","","0","0","2","0","0"
"","Return link","","0","0","1","0","0"
"","Open Recovery","","0","0","1","0","0"
